year,month,index_month,index_year
1997,11,27.4,27
1997,12,27.5,27
1998,1,27.8,28.9
1998,2,27.8,28.9
1998,3,28,28.9
1998,4,28.2,28.9
1998,5,28.3,28.9
1998,6,28.4,28.9
1998,7,29.1,28.9
1998,8,29.4,28.9
1998,9,29.9,28.9
1998,10,30,28.9
1998,11,30,28.9
1998,12,30,28.9
1999,1,30.2,30.4
1999,2,30.2,30.4
1999,3,30.2,30.4
1999,4,30.3,30.4
1999,5,30.3,30.4
1999,6,30.4,30.4
1999,7,30.4,30.4
1999,8,30.3,30.4
1999,9,30.4,30.4
1999,10,30.5,30.4
1999,11,30.6,30.4
1999,12,30.7,30.4
2000,1,31.1,32
2000,2,30.9,32
2000,3,31.3,32
2000,4,31.6,32
2000,5,31.8,32
2000,6,32,32
2000,7,32.3,32
2000,8,32.4,32
2000,9,32.5,32
2000,10,32.7,32
2000,11,32.7,32
2000,12,32.8,32
2001,1,33.3,33.8
2001,2,33.3,33.8
2001,3,33.5,33.8
2001,4,33.7,33.8
2001,5,33.8,33.8
2001,6,34,33.8
2001,7,34,33.8
2001,8,33.9,33.8
2001,9,34,33.8
2001,10,34,33.8
2001,11,34.2,33.8
2001,12,34.3,33.8
2002,1,34.9,36.9
2002,2,35.3,36.9
2002,3,35.6,36.9
2002,4,36.2,36.9
2002,5,36.4,36.9
2002,6,36.7,36.9
2002,7,37.3,36.9
2002,8,37.4,36.9
2002,9,37.8,36.9
2002,10,38.4,36.9
2002,11,38.5,36.9
2002,12,38.5,36.9
2003,1,38.9,39.1
2003,2,38.9,39.1
2003,3,39.3,39.1
2003,4,39.4,39.1
2003,5,39.3,39.1
2003,6,39.2,39.1
2003,7,39.2,39.1
2003,8,39.3,39.1
2003,9,39.2,39.1
2003,10,38.9,39.1
2003,11,38.7,39.1
2003,12,38.7,39.1
2004,1,39,39.6
2004,2,39.2,39.6
2004,3,39.5,39.6
2004,4,39.5,39.6
2004,5,39.5,39.6
2004,6,39.6,39.6
2004,7,39.8,39.6
2004,8,39.8,39.6
2004,9,39.8,39.6
2004,10,39.9,39.6
2004,11,40.1,39.6
2004,12,40,39.6
2005,1,40.2,41
2005,2,40.2,41
2005,3,40.6,41
2005,4,40.8,41
2005,5,40.8,41
2005,6,40.7,41
2005,7,41.1,41
2005,8,41.3,41
2005,9,41.5,41
2005,10,41.5,41
2005,11,41.5,41
2005,12,41.5,41
2006,1,41.7,42.9
2006,2,41.8,42.9
2006,3,42,42.9
2006,4,42.2,42.9
2006,5,42.4,42.9
2006,6,42.7,42.9
2006,7,43.2,42.9
2006,8,43.5,42.9
2006,9,43.6,42.9
2006,10,43.7,42.9
2006,11,43.6,42.9
2006,12,43.9,42.9
2007,1,44.2,45.9
2007,2,44.2,45.9
2007,3,44.6,45.9
2007,4,45.1,45.9
2007,5,45.4,45.9
2007,6,45.8,45.9
2007,7,46.2,45.9
2007,8,46.4,45.9
2007,9,46.8,45.9
2007,10,47.2,45.9
2007,11,47.4,45.9
2007,12,47.8,45.9
2008,1,48.3,51.2
2008,2,48.5,51.2
2008,3,49.3,51.2
2008,4,50.2,51.2
2008,5,50.7,51.2
2008,6,51.4,51.2
2008,7,52.4,51.2
2008,8,52.8,51.2
2008,9,52.9,51.2
2008,10,52.9,51.2
2008,11,52.9,51.2
2008,12,52.4,51.2
2009,1,52.6,54.6
2009,2,53.1,54.6
2009,3,53.8,54.6
2009,4,54.1,54.6
2009,5,54.3,54.6
2009,6,54.6,54.6
2009,7,55.1,54.6
2009,8,55.3,54.6
2009,9,55.5,54.6
2009,10,55.5,54.6
2009,11,55.5,54.6
2009,12,55.7,54.6
2010,1,55.8,56.9
2010,2,56.2,56.9
2010,3,56.6,56.9
2010,4,56.7,56.9
2010,5,56.8,56.9
2010,6,56.8,56.9
2010,7,57.2,56.9
2010,8,57.2,56.9
2010,9,57.3,56.9
2010,10,57.4,56.9
2010,11,57.5,56.9
2010,12,57.6,56.9
2011,1,57.9,59.8
2011,2,58.2,59.8
2011,3,58.9,59.8
2011,4,59.1,59.8
2011,5,59.4,59.8
2011,6,59.7,59.8
2011,7,60.2,59.8
2011,8,60.3,59.8
2011,9,60.6,59.8
2011,10,60.8,59.8
2011,11,61,59.8
2011,12,61.1,59.8
2012,1,61.5,63.1
2012,2,61.8,63.1
2012,3,62.5,63.1
2012,4,62.8,63.1
2012,5,62.8,63.1
2012,6,63,63.1
2012,7,63.1,63.1
2012,8,63.3,63.1
2012,9,63.9,63.1
2012,10,64.2,63.1
2012,11,64.40000000000001,63.1
2012,12,64.59999999999999,63.1
2013,1,64.8,66.8
2013,2,65.40000000000001,66.8
2013,3,66.2,66.8
2013,4,66.40000000000001,66.8
2013,5,66.2,66.8
2013,6,66.40000000000001,66.8
2013,7,67.09999999999999,66.8
2013,8,67.3,66.8
2013,9,67.7,66.8
2013,10,67.8,66.8
2013,11,67.90000000000001,66.8
2013,12,68.09999999999999,66.8
2014,1,68.5,70.8
2014,2,69.3,70.8
2014,3,70.2,70.8
2014,4,70.5,70.8
2014,5,70.59999999999999,70.8
2014,6,70.8,70.8
2014,7,71.40000000000001,70.8
2014,8,71.7,70.8
2014,9,71.7,70.8
2014,10,71.8,70.8
2014,11,71.8,70.8
2014,12,71.7,70.8
2015,1,71.5,74.09999999999999
2015,2,72,74.09999999999999
2015,3,73,74.09999999999999
2015,4,73.7,74.09999999999999
2015,5,73.90000000000001,74.09999999999999
2015,6,74.2,74.09999999999999
2015,7,75,74.09999999999999
2015,8,75,74.09999999999999
2015,9,75,74.09999999999999
2015,10,75.2,74.09999999999999
2015,11,75.2,74.09999999999999
2015,12,75.40000000000001,74.09999999999999
2016,1,76,78.8
2016,2,77,78.8
2016,3,77.59999999999999,78.8
2016,4,78.3,78.8
2016,5,78.40000000000001,78.8
2016,6,78.8,78.8
2016,7,79.5,78.8
2016,8,79.40000000000001,78.8
2016,9,79.5,78.8
2016,10,79.90000000000001,78.8
2016,11,80.2,78.8
2016,12,80.5,78.8
2017,1,81,82.90000000000001
2017,2,81.90000000000001,82.90000000000001
2017,3,82.40000000000001,82.90000000000001
2017,4,82.40000000000001,82.90000000000001
2017,5,82.7,82.90000000000001
2017,6,82.90000000000001,82.90000000000001
2017,7,83.09999999999999,82.90000000000001
2017,8,83.2,82.90000000000001
2017,9,83.59999999999999,82.90000000000001
2017,10,83.8,82.90000000000001
2017,11,83.90000000000001,82.90000000000001
2017,12,84.3,82.90000000000001
2018,1,84.5,86.8
2018,2,85.2,86.8
2018,3,85.5,86.8
2018,4,86.2,86.8
2018,5,86.3,86.8
2018,6,86.59999999999999,86.8
2018,7,87.40000000000001,86.8
2018,8,87.3,86.8
2018,9,87.7,86.8
2018,10,88.09999999999999,86.8
2018,11,88.2,86.8
2018,12,88.09999999999999,86.8
2019,1,87.90000000000001,90.3
2019,2,88.59999999999999,90.3
2019,3,89.40000000000001,90.3
2019,4,89.90000000000001,90.3
2019,5,90.2,90.3
2019,6,90.5,90.3
2019,7,90.8,90.3
2019,8,91.09999999999999,90.3
2019,9,91.3,90.3
2019,10,91.3,90.3
2019,11,91.40000000000001,90.3
2019,12,91.59999999999999,90.3
2020,1,91.90000000000001,93.3
2020,2,92.8,93.3
2020,3,93.09999999999999,93.3
2020,4,92.59999999999999,93.3
2020,5,92,93.3
2020,6,92.5,93.3
2020,7,93.7,93.3
2020,8,93.90000000000001,93.3
2020,9,94,93.3
2020,10,94.3,93.3
2020,11,94.3,93.3
2020,12,94.40000000000001,93.3
2021,1,94.8,97.5
2021,2,95.40000000000001,97.5
2021,3,96.09999999999999,97.5
2021,4,96.7,97.5
2021,5,96.8,97.5
2021,6,97,97.5
